0,3702.91,143.78,0
1,4472.72,67.28,3
2,4310.35,67.97,0
3,3833.2,69.09,1
4,3813.46,114.7,6
5,3881.7,69.74,4
6,4646.91,67.1,6
7,5309.23,70.4,1
8,5194.16,70.5,8
9,5069.36,67.79,6
10,5218.15,69.99,13
11,4958.55,71.63,8
12,5358.79,73.07,10
13,3267.6,72,6
14,1141.94,71.88,10
15,2599.23,73.19,10
16,1605.26,71.52,5
17,2255.91,70.48,7
18,1450.95,71.61,11
19,2365.33,69.71,13
20,3084.53,72.06,12
21,1856.7,74.35,15
22,1340.91,125.81,18
23,2666.77,72.6,17
24,1743.44,120.66,26
25,1277.46,73.34,14
26,2866.62,73.98,19
27,1843.62,73.78,16
28,2305.92,73.14,21
29,2814.05,199.11,14
30,3032.7,76.76,21
31,1956.25,74.49,18
32,2949.56,75.43,17
33,1179.21,73.49,13
34,1021.53,72.65,16
35,2945.02,75.8,23
36,997.49,73.06,16
37,2872.94,75.45,13
38,3325.07,231.22,24
39,2106.7,75.7,16
40,3769.97,75.58,26
41,3246.26,74.79,18
42,1056.62,75.2,17
43,2270.39,73.97,22
44,906.49,69.01,19
45,1115.03,69.38,20
46,1540.52,74.9,12
47,1205.53,76.85,17
48,1615.64,75.7,20
49,1506.18,70.58,20
50,1376.56,69.59,20
51,1369.87,70.16,28
52,1453.32,76.9,16
53,1409.06,74.83,18
54,1469.17,74.59,20
55,1749.79,75.5,18
56,1633.64,69.43,29
57,1377.27,71.15,26
58,1303.01,76.39,17
59,1852.84,77.34,17
60,1627.01,75.95,18
61,1437.58,75.18,29
62,1360.33,77.61,19
63,1478.13,76.92,29
64,1243.92,78.5,20
65,1331.83,77.76,21
66,1777.28,77.15,22
67,1402.87,77.82,20
68,1290.87,77.5,19
69,1040.24,77.8,15
70,1068.98,78.82,19
71,1081.16,77.8,21
72,254.64,70.47,24
73,1234,77.11,21
74,1208.35,80.43,22
75,271.82,70.25,14
76,1179.05,77.84,20
77,1127.91,78.64,15
78,266.2,70.25,23
79,437.52,79.91,25
80,335.8,72.08,26
81,186.12,69.05,23
82,1410.82,79.41,21
83,220.37,71.19,24
84,1436.41,79.4,20
85,229.09,71.52,19
86,218.93,67.94,21
87,1558.28,79.59,20
88,265.86,71.09,15
89,217.01,69.28,20
90,1487.65,81.38,26
91,273.92,70.5,23
92,210.79,68.99,27
93,1500.58,80.67,21
94,261.61,71.83,21
95,193.46,69.17,13
96,1518.32,79.88,29
97,261.28,71.23,19
98,205.26,69.55,15
99,1498.05,81.92,23
100,266.56,71.96,27
101,217.11,69.24,25
102,1589.09,82.02,14
103,262.65,72.51,24
104,192.63,71.17,24
105,1539.78,81.92,27
106,261.79,72.61,15
107,219.19,70.6,17
108,1520.09,82.29,11
109,276.93,72.42,19
110,215.61,70.47,25
111,1515.76,81.25,29
112,293.61,72.85,29
113,238.78,70.44,24
114,1570.8,83.03,19
115,258.55,73.03,19
116,213.82,70.41,20
117,1510.43,81.79,15
118,252.21,72.68,28
119,212.92,71.37,18
120,1523.84,83.28,13
121,262.89,71.99,21
122,195.66,71.49,28
123,214.11,82.9,21
124,320.33,73.32,19
125,221.28,71.09,24
126,222.37,70.55,25
127,1822.39,82.28,23
128,226.26,73.27,22
129,212.75,71.93,22
130,1712.27,80.59,25
131,192.23,73.5,24
132,209.83,71.1,21
133,1769.54,82.06,20
134,262.91,73.29,24
135,251.51,71.97,19
136,195.38,69.56,27
137,1845.77,82,19
138,224.12,73.44,26
139,214.72,70.82,23
140,1691.11,83.06,16
141,264.73,74.46,18
142,213.59,70.96,16
143,209.4,70.28,17
144,1832.27,81.85,18
145,198.37,72.82,17
146,215.41,72.69,12
147,1744.92,83.32,17
148,267.09,74.68,25
149,188.61,70.64,15
150,214.8,71.13,27
151,3110.82,83.26,24
152,295.96,74.73,11
153,221.33,82.93,23
154,307.08,75.66,29
155,221.65,72.58,21
156,1522.18,83.18,25
157,260.21,74.12,18
158,206.54,72.35,20
159,1506.03,84.79,20
160,314.8,76.68,28
161,213.57,72.04,22
162,1667.79,84.85,22
163,221.59,75.83,18
164,220,72.79,25
165,213.68,83.99,29
166,318.77,75.29,26
167,253.69,72.75,36
168,184.62,71.35,24
169,1717.72,83.11,25
170,211.04,75.58,19
171,197.31,72.63,26
172,1624.16,85.24,20
173,257.25,75.28,35
174,213.6,72.28,28
175,214.72,1649.07,32
176,346.41,82.05,32
177,188.99,73.75,31
178,203.87,84.23,28
179,316.61,75.36,36
180,218.12,74.96,24
181,186.02,72.19,31
182,1666.68,83.54,34
183,209.33,74.92,33
184,201.82,72.15,34
185,1718.15,85.89,30
186,223.74,77.28,30
187,215.81,74.65,30
188,202.22,72.19,34
189,1744.26,84.08,32
190,209.92,76.45,42
191,243.46,73.49,38
192,1663.49,86.06,44
193,256.85,77.38,39
194,209.99,74.51,29
195,180.72,71.94,42
196,1749.58,84.03,41
197,212.45,75.6,50
198,248.92,73.7,38
199,1802.1,84.07,43
200,220.79,73.91,42
201,206.58,72.25,41
202,202.8,70.28,43
203,2009.39,87.02,30
204,223.6,76.06,46
205,217.22,74.14,48
206,208.25,74.62,48
207,204.46,72.17,41
208,2339.38,87.34,46
209,227.62,77.71,42
210,218.75,77.72,50
211,208.05,75.36,53
212,202.93,73,45
213,2079.53,83.33,45
214,214.98,75.5,53
215,208.75,71.98,41
216,1878.27,85.42,54
217,250.08,74.7,56
218,184.64,70.19,50
219,199.64,71.8,53
220,2309.37,87.97,54
221,210.76,76.25,50
222,204.37,79.27,39
223,2204.27,89.11,40
224,262.71,77.77,51
225,208.45,73.41,45
226,201.58,74.21,43
227,1794.74,88.54,51
228,255.41,79.09,56
229,205.99,73.71,52
230,234.6,76.5,55
231,1781.88,92.15,49
232,227.88,76.84,46
233,229.79,76.84,49
234,208.5,73.99,65
235,1820.71,88.78,52
236,228.15,78.74,58
237,218.99,80.94,44
238,202.32,77.82,55
239,1802.03,93.53,64
240,287.28,84.18,48
241,189.33,79.84,61
242,206.78,77.02,53
243,1850.18,90.07,52
244,255.17,83.07,44
245,185.98,78.35,56
246,207.06,79.12,54
247,1776.93,93.48,48
248,253.66,87.46,47
249,209.86,76.9,53
250,182.49,76.82,52
251,1812.82,91.49,52
252,255.74,78.43,49
253,204.49,76.99,56
254,205.36,78.24,42
255,1870.64,89.53,54
256,259.46,82.93,50
257,208.9,79.97,56
258,207.66,78.15,46
259,181.4,88.78,50
260,320.46,82.97,45
261,204.09,77.93,44
262,203.87,80.68,55
263,206.33,76.69,55
264,1990.15,92.94,50
265,220.34,78.53,50
266,206.29,77.03,55
267,203.22,78.3,53
268,1876.18,93.18,54
269,285.49,82.4,46
270,236.41,79.13,54
271,206.44,76.73,53
272,1894.93,93.05,61
273,226.95,81.66,54
274,215.17,78.2,56
275,203.05,76.3,49
276,204.06,81.13,49
277,898.39,93.98,46
278,1851.01,89.93,51
279,245.18,80.38,47
280,211.71,81.9,49
281,204.84,79.99,61
282,185.55,85.15,56
283,1793.1,90.6,51
284,234.54,81.36,51
285,207.96,78.5,54
286,217.32,80.91,44
287,184.7,77.05,61
288,1735.21,92.01,41
289,225.71,81.61,39
290,205.74,81.83,47
291,184.75,78.13,51
292,273.44,80.78,45
293,1727.68,92.85,55
294,212.4,83.33,50
295,204.4,81.52,48
296,185.19,77.05,60
297,1603.17,82.35,51
298,330.74,85.42,52
299,207.53,80.5,49
300,186.59,80.83,58
301,1661.89,92.58,56
302,229.16,86.54,59
303,203.09,83.44,47
304,204.98,83.11,47
305,180.61,78.9,55
306,1792.31,90.75,53
307,202.02,79.19,45
308,196.92,80.09,53
309,177.92,76.02,46
310,195.38,78.66,55
311,1722.28,85.37,51
312,369.65,85.31,54
313,206.18,79.89,59
314,186.62,83.68,50
315,1619.02,89.61,57
316,225.65,85.62,56
317,206.64,81.54,58
318,217.29,84.84,49
319,301.12,88.44,51
320,379.56,83.09,53
321,213.32,79.42,52
322,201.43,78.29,63
323,1386.97,88.17,50
324,345.78,84.42,47
325,229.04,75.33,54
326,197.49,86.04,45
327,227.74,79.46,52
328,289.14,82.59,59
329,208.88,78.06,51
330,1405.56,93.99,53
331,226.02,81.49,49
332,224.07,82.58,56
333,1074.38,206.44,46
334,1099.9,91.97,49
335,216.08,85.92,51
336,209.2,79.69,51
337,1215.53,82.18,66
338,189.77,76.67,50
339,187.95,76.52,51
340,1351.67,88.08,54
341,191.62,200.65,55
342,217.95,81.33,46
343,205.89,81.25,51
344,1425.83,94,51
345,210.1,212.4,51
346,1407.19,97.51,61
347,224.85,85.87,57
348,204.3,85.85,52
349,203.91,87.15,36
350,1445.49,94.27,55
351,1118.98,93.26,51
352,932.02,95.66,56
353,346.28,86.96,55
354,212.46,83.86,51
355,181.76,80.4,48
356,1334.67,92.92,55
357,209.81,192.77,55
358,204.41,100.49,51
359,244.73,89.66,47
360,176.13,80.44,56
361,195.91,89.32,52
362,242.51,83.39,52
363,200.95,83.65,56
364,175.51,81.79,56
365,1287.94,94.77,55
366,205.52,83.76,51
367,230.42,85.09,50
368,1572.66,96.12,56
369,189.06,86.44,51
370,205.07,82.35,60
371,1347.87,98.66,55
372,292.46,85.99,57
373,248.38,85.16,61
374,231.65,98.39,48
375,252.12,88.52,47
376,207.28,81.13,56
377,203.75,84.45,58
378,1302.3,97.49,59
379,223.61,91.47,55
380,204.3,84.92,63
381,1338.48,94.22,56
382,226.01,86.73,55
383,181.59,83.35,63
384,205.45,81.3,62
385,1393.15,100.76,64
386,400.77,89.12,63
387,192.86,87.62,67
388,1298.45,97.12,52
389,204.52,88.98,61
390,205.2,86.38,61
391,1261.67,93.75,60
392,187.17,87.45,55
393,204.02,86.65,68
394,1344.29,98.32,54
395,226.94,85.6,62
396,185.21,86.11,57
397,215.7,85,65
398,1384.27,96.29,61
399,207.56,88.4,64
