0,3971.31,156.51,0
1,4104.59,111.65,3
2,4111.38,115.35,0
3,4046.64,113.49,1
4,3959.71,71.9,6
5,4120.9,111.32,4
6,5302.32,72.9,6
7,5210.94,121.59,1
8,5071.13,72.25,8
9,4977.53,124.38,6
10,5107.79,74.35,13
11,5112.72,121.68,8
12,4533.9,76.14,10
13,2268.5,117.21,6
14,2417.08,186.5,10
15,2926.38,122.87,10
16,1703.05,76.59,5
17,2360.04,75.7,7
18,1503.67,125.93,11
19,1323.13,75.83,13
20,1534.94,124.08,12
21,1285.3,75.09,15
22,2910.91,79.97,18
23,2969.76,76.73,17
24,982.51,74.77,26
25,3114.8,77.55,14
26,1113.12,115.52,19
27,2275.67,78.15,16
28,975.17,80.6,21
29,2664.15,76.8,14
30,3953.11,152.8,21
31,277.65,70.47,18
32,318.67,69.9,17
33,181.57,65.62,13
34,216.38,64.34,16
35,156,62.33,23
36,260.49,64.77,16
37,177.6,64.64,13
38,166.48,63.45,24
39,173.1,59.38,16
40,150.88,61.7,26
41,170.75,62.04,18
42,162.34,64.55,17
43,156,60.51,22
44,148.72,61.36,19
45,174.01,61.14,20
46,186.72,60.29,12
47,163.98,113.23,17
48,256.45,67.73,20
49,166.18,65.38,20
50,167.28,62.6,20
51,205.61,62.23,28
52,173.74,97.87,16
53,147.91,63.35,18
54,172.79,65.08,20
55,165.44,63.35,18
56,172.86,63.1,29
57,278.57,66.26,26
58,149.15,66.69,17
59,173.4,64.55,17
60,168.56,64.54,18
61,163.89,63.03,29
62,173.26,63.95,19
63,149.16,116.04,29
64,164.12,63.82,20
65,174.59,63.52,21
66,192.67,63.94,22
67,153.4,63.46,20
68,167.46,63.6,19
69,165.34,63.85,15
70,174.99,63.73,19
71,203.08,64.57,21
72,153.43,65.95,24
73,170.79,63.44,21
74,162.16,64.59,22
75,181.25,64.27,14
76,139.7,65.56,20
77,185.89,64.04,15
78,168.79,66.84,23
79,165.69,63.31,25
80,166.82,64.44,26
81,142.59,64.06,23
82,171.54,64.35,21
83,169.52,62.52,24
84,171.26,65.55,20
85,152.08,65.15,19
86,164.17,64.75,21
87,174.77,65.35,20
88,166.78,65.69,15
89,170.53,62.7,20
90,152.41,65.93,26
91,173.84,64.19,23
92,170.04,64.13,27
93,173.36,63.42,21
94,172.55,65.72,21
95,148.24,64.63,13
96,170.69,65.87,29
97,170.85,65.74,19
98,164.12,65.44,15
99,148.85,65.53,23
100,174.3,65.91,27
101,174.73,64.96,25
102,170.87,66.49,14
103,164.63,64.86,24
104,145.95,65.04,24
105,208.51,66.32,27
106,203.81,67.63,15
107,177.44,66.26,17
108,147.01,67.58,11
109,171.06,65.43,19
110,170.3,65.35,25
111,164.6,65.35,29
112,182.81,69.53,29
113,144,67.63,24
114,189.32,67.18,19
115,168.78,67.64,19
116,170.22,67.69,20
117,143.9,67.6,15
118,167.29,66.27,28
119,173.62,66.69,18
120,164.3,67.15,13
121,164.23,66.73,21
122,148.47,67.7,28
123,168.42,67.56,21
124,167.27,66.35,19
125,169.16,66.32,24
126,181.59,67.76,25
127,151.34,67.67,23
128,34627.2,146.89,22
129,8518.4,248.03,22
130,1776.7,99.86,25
131,1694.32,92.26,24
132,1609.08,98.12,21
133,1608.8,89.97,20
134,1640.97,88.2,24
135,1565,91,19
136,1563.61,94.1,27
137,1554.63,92.96,19
138,1604.04,96.32,26
139,1564.96,89.06,23
140,1549.53,92.95,16
141,1585.35,94.19,18
142,1674.59,98.87,16
143,1681.9,95.61,17
144,1580.09,94.67,18
145,1579.19,96.49,17
146,1573.55,102.07,12
147,1680.17,100.95,17
148,1658.36,114.31,25
149,1627.39,97.57,15
150,1577.21,101.93,26
151,1622.48,97.13,23
152,1579.9,103.34,10
153,1775.82,93.21,23
154,1562.15,89.43,29
155,1575.62,94.85,20
156,1657.89,104.07,25
157,1613.32,102.78,18
158,1607.78,96.73,20
159,1852.08,95.7,20
160,1648.55,98.35,25
161,1591.45,99.2,22
162,1612.56,104.8,19
163,1527.06,100.79,17
164,1677.72,99.99,22
165,1651.59,99.96,26
166,1577.61,98.6,22
167,1570.72,93.21,32
168,1535.61,98.86,21
169,1586.78,92.84,21
170,1626.05,96.31,15
171,1612.42,95.76,20
172,1527.48,103.19,17
173,1630.63,98.75,30
174,1571.62,91.4,23
175,1618.03,96.22,25
176,2057.63,95.54,22
177,1718.8,100.03,25
178,1735.63,103.05,20
179,1259.99,85.96,21
180,1286.78,98.2,19
181,1035.86,87.43,23
182,1215.68,208.02,28
183,1822,99.11,22
184,1152.43,96.83,21
185,1126.09,98.36,20
186,1281.39,98.58,20
187,1951.13,96.33,17
188,2121.32,83.07,21
189,1205.29,88.13,22
190,1666.32,95.74,20
191,1073.54,87.15,24
192,1210.8,97.1,28
193,1263.03,165.36,18
194,1166.73,89.29,18
195,240.68,83.42,24
196,1354.22,92.42,25
197,253.64,87.53,23
198,493.37,88.14,23
199,1218.59,81.09,19
200,189.69,88.55,25
201,436.85,83.3,25
202,1260.08,94.86,23
203,1196.91,93.09,18
204,1119.71,98.02,33
205,284.06,86.14,27
206,1315.85,87.12,21
207,1325.28,96.13,21
208,1153.34,96.67,18
209,1042.02,142.53,23
210,1797.86,215.83,20
211,1034.97,201.18,24
212,1212.97,95.24,26
213,1129.19,91.98,18
214,1172.02,212.19,26
215,1219.59,87.35,18
216,1106.5,95.07,21
217,1119.83,92.26,21
218,1076.93,94.59,16
219,1101.97,89.1,30
220,1161.46,93.44,19
221,1352.99,94.36,26
222,284.89,90.9,19
223,1208.68,95.35,20
224,1315.24,92.68,21
225,282.68,81.32,21
226,1224.47,93.06,16
227,251.29,76.82,28
228,1406.21,95.17,25
229,1090.65,93.17,24
230,286.51,88.46,26
231,470.64,90.16,25
232,1163.99,154.67,15
233,305.18,307.01,19
234,1055.37,108.32,29
235,1063.67,98.25,20
236,1219.69,96.21,27
237,1079.7,100.41,20
238,1059.18,103.47,25
